CustomerID,CompanyName,ContactName,City,Country
ALFKI,Alfreds Futterkiste,Maria Anders,Berlin,Germany
AROUT,Around the Horn,Thomas Hardy,London,UK
FMMRL,Sued Pantry Ltd.,Jonas Cooper,Nantes,France
ETXRP,Klare Trading AG,Regina Nolot,London,UK
KVMJK,Rote Bistro & Co.,Dirk Bertrand,Manchester,UK
IEOWD,Alpen Emporium AG,Elio Cooper,Vienna,Austria
MAPTB,Klare Taverna Ltd.,Charlotte Amsel,Cologne,Germany
XVNBZ,Frische Kontor SARL,Robb Winkler,Zurich,Switzerland
TINQA,Stille Gourmet GmbH,Sofia Bein,Bergen,Norway
TRYSX,Goldene Speisekammer Ltd.,Mayumi Heikkonen,Madrid,Spain
TWGGZ,West Feinkost BV,Regina Goulet,Graz,Austria
YVQCH,Nord Kontor Ltd.,Carlos Ohno,Stockholm,Sweden
NGCTP,Hohe Emporium OY,Carlos Vileid,Copenhagen,Denmark
SPPRI,Bunte Provisions Ltd.,Sven Diaz,Turin,Italy
BNYBJ,West Feinkost OY,Martin Saveley,Munich,Germany
VXJHA,Rote Kontor AB,Anne Murphy,Hamburg,Germany
VLLAI,Nord Cantina AG,Niels Bein,Brussels,Belgium
GEEGS,Freie Delikatessen S.p.A.,Petra Bein,Turin,Italy
JEYCD,Sued Trading & Co.,Elio Nagase,Brussels,Belgium
MXKGV,Tiefe Vorratshaus SARL,Robb Murphy,Brussels,Belgium
HOAFN,Bunte Gourmet AG,Dirk Winkler,Helsinki,Finland
JCWVH,Blaue Vorratshaus OY,Chandra Nolot,Turin,Italy
WPBNO,West Genuss SARL,Elio del Valle,Manchester,UK
RBMPA,Stille Feinkost Ltd.,Sofia Amsel,Rome,Italy
OYUGL,Beste Larder BV,Michael Nolot,Madrid,Spain
XLAVG,Erste Kontor SARL,Emma Luchini,Nantes,France
AKZQT,Ost Trading S.p.A.,Niels Bertrand,Bergen,Norway
XKTZQ,Bunte Kontor SARL,Chantal Amsel,Barcelona,Spain
KHKRV,Nord Handels Ltd.,Lars Saveley,Hamburg,Germany
SDLSY,Frische Pantry AG,Wendy Crespi,Lyon,France
THSQN,Bunte Pantry S.p.A.,Michael Rossi,Brussels,Belgium
YUXHC,Weite Vorratshaus AG,Antonio Wilson,Hamburg,Germany
MYVXC,Alte Trading AG,Petra Crespi,Munich,Germany
SHRPR,Alte Trading & Co.,Jean del Valle,Helsinki,Finland
YWUSA,West Bistro GmbH,Pavel Luchini,Berlin,Germany
MNXAG,Hohe Speisekammer SARL,Charlotte Wilson,Oslo,Norway
WSEBX,Klare Handels KG,Niels Merchant,Lisbon,Portugal
MZTXS,Sued Vorratshaus S.p.A.,Ian del Valle,Graz,Austria
BOGAS,Bunte Larder & Co.,Pavel Murphy,Oslo,Norway
LPREO,Tiefe Vorratshaus AG,Chandra Heikkonen,Bern,Switzerland
KBWLG,Tiefe Kontor BV,Anne Bein,Bergen,Norway
SMORH,Frische Larder S.p.A.,Guylene del Valle,Lisbon,Portugal
UAXMI,Tiefe Pantry GmbH,Noah Weber,Barcelona,Spain
PSZOY,Ost Pantry GmbH,Lena Luchini,Oslo,Norway
RNTHV,Erste Feinkost BV,Beate Mendoza,Manchester,UK
FGLEI,Stille Feinkost S.p.A.,Anne Bertrand,Zurich,Switzerland
ALZAL,Bunte Vorratshaus Ltd.,Giovanni Crespi,Helsinki,Finland
WVGUX,Bunte Provisions GmbH,Mayumi Peterson,Rome,Italy
QDSIQ,Frische Emporium Ltd.,Antonio Diaz,Hamburg,Germany
WBBZO,Hohe Speisekammer AB,Marco Vileid,Stockholm,Sweden
SKSEF,Goldene Handels Ltd.,Lars Petersen,Zurich,Switzerland
ALPBF,Bunte Delikatessen AB,Emma Wilson,Innsbruck,Austria
CKKWE,Klare Taverna KG,Petra Petersen,Rome,Italy
GHUHP,Kleine Larder SARL,Wendy Diaz,Helsinki,Finland
VBYNW,Hohe Taverna AG,Chandra Luchini,Paris,France
SVGTT,Goldene Speisekammer KG,Sofia Petersen,Dublin,Ireland
BKURQ,Sued Delikatessen S.p.A.,Anne Nolot,Graz,Austria
HLHVL,Alpen Trading AB,Marco Luchini,Munich,Germany
YLWKF,Sued Genuss AG,Guylene Rossi,Hamburg,Germany
JLWBL,Neue Taverna & Co.,Antonio Wilson,Turin,Italy
PUQHW,Grosse Taverna S.p.A.,Niels Devling,Bergen,Norway
SGTEY,Grosse Feinkost AG,Carlos del Valle,Helsinki,Finland
UQVLY,Frische Trading BV,Robb Petersen,Lyon,France
VYHBU,Beste Provisions BV,Petra Nagase,Innsbruck,Austria
FFFYR,Alte Import AB,Lars Crespi,Oslo,Norway
KIWFL,Ost Trading OY,Antonio Petersen,Turin,Italy
DTZKB,Weite Import Ltd.,Katrin Crespi,Warsaw,Poland
PFEIS,Ost Import BV,Yoshi Diaz,Cologne,Germany
VTJBP,Kleine Provisions AB,Pavel Nagase,Munich,Germany
VEYUQ,Weite Speisekammer S.p.A.,Regina Ohno,Paris,France
JVTVC,Alpen Import & Co.,Marco Weber,Vienna,Austria
AMPEQ,Freie Markt SARL,Jonas Heikkonen,Amsterdam,Netherlands
YJAXX,Bunte Genuss Ltd.,Ian Nolot,Prague,Czechia
IWQPR,Stille Provisions OY,Jonas Nolot,Cologne,Germany
OUKVF,Nord Trading OY,Ian Crespi,Berlin,Germany
INWFA,Kleine Handels BV,Regina Burke,Dublin,Ireland
XTUBQ,Freie Delikatessen SARL,Michael Petersen,London,UK
PSNQQ,Ost Cantina OY,Petra Crespi,Manchester,UK
UCGRS,Stille Genuss S.p.A.,Emma Murphy,Milan,Italy
QEFYE,Rote Handels AB,Emma Bein,Warsaw,Poland
FLETF,Freie Feinkost S.p.A.,Jonas Luchini,Innsbruck,Austria
HIVZZ,Neue Feinkost SARL,Antonio Diaz,Paris,France
POBYN,Goldene Trading BV,Charlotte Fresnel,Manchester,UK
TCJVQ,Kleine Trading AG,Guylene Goulet,Copenhagen,Denmark
PLRKR,Klare Genuss OY,Ian Damodaran,Amsterdam,Netherlands
ORDDL,Weite Import S.p.A.,Marco Burke,Copenhagen,Denmark
LPVQG,Bunte Speisekammer GmbH,Marco Bein,Copenhagen,Denmark
ZPMLW,Ost Pantry AG,Yoshi Petersen,Milan,Italy
UDJOJ,Freie Genuss S.p.A.,Cheryl Weber,Bern,Switzerland
KVIFE,Neue Markt & Co.,Chantal Crespi,Bergen,Norway
EDMNO,Alpen Feinkost & Co.,Carlos Schulz,Vienna,Austria
FWOFX,Kleine Gourmet AG,Marie Petersen,Lyon,France
DFGYY,Freie Pantry Ltd.,Charlotte Cooper,Madrid,Spain
GBWAC,Goldene Handels OY,Martin Petersen,Barcelona,Spain
KZCRH,Weite Pantry AG,Mayumi Nagase,Rome,Italy
GNWWW,Nord Taverna & Co.,Dirk Saveley,Lisbon,Portugal
RLXGK,Ost Vorratshaus AG,Niels Schulz,Amsterdam,Netherlands
RTJFF,Kleine Cantina OY,Michael Ohno,Vienna,Austria
KEHQT,West Import OY,Michael Luchini,Paris,France
CVUQF,Blaue Taverna & Co.,Mayumi Murphy,Barcelona,Spain
EUSVY,West Speisekammer AG,Jonas Wilson,Warsaw,Poland
LBUUY,Neue Provisions S.p.A.,Eliane Cooper,Manchester,UK
GBDKX,Alte Cantina Ltd.,Sven Ohno,Madrid,Spain
